latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
31.599297,-7.976074,460.0,0,GMT,GMT

time,precipitation_sum (mm),et0_fao_evapotranspiration (mm),temperature_2m_mean (°C),soil_moisture_0_to_7cm_mean (m³/m³),soil_moisture_0_to_100cm_mean (m³/m³)
1991-01-29,0.00,2.44,8.4,0.161,0.161
1991-01-30,0.00,2.24,8.6,0.158,0.160
1991-01-31,0.00,2.74,7.7,0.155,0.160
1991-02-01,0.00,2.71,8.3,0.152,0.159
1991-02-02,7.70,1.24,7.2,0.208,0.163
1991-02-03,4.20,1.49,6.7,0.326,0.173
1991-02-04,0.00,2.38,6.4,0.299,0.174
1991-02-05,0.00,2.51,7.6,0.273,0.173
1991-02-06,0.00,2.48,8.2,0.254,0.172
1991-02-07,2.50,2.20,9.1,0.244,0.171
1991-02-08,1.90,1.75,9.6,0.296,0.175
1991-02-09,0.00,2.28,8.6,0.279,0.175
1991-02-10,0.00,2.47,9.3,0.260,0.174
1991-02-11,0.00,2.63,9.9,0.246,0.173
1991-02-12,0.30,2.38,9.5,0.234,0.172
1991-02-13,3.30,1.37,10.1,0.234,0.171
1991-02-14,0.50,1.98,10.1,0.257,0.173
1991-02-15,0.00,2.64,9.2,0.246,0.172
1991-02-16,4.40,1.39,7.8,0.244,0.172
1991-02-17,5.60,1.98,7.3,0.336,0.180
1991-02-18,17.00,1.31,7.3,0.380,0.192
1991-02-19,40.10,0.78,6.5,0.412,0.217
1991-02-20,7.10,1.66,9.9,0.412,0.242
1991-02-21,0.00,2.16,10.6,0.384,0.242
1991-02-22,0.00,3.00,10.9,0.364,0.240
1991-02-23,0.00,2.95,11.8,0.346,0.238
1991-02-24,0.00,3.07,12.1,0.330,0.236
1991-02-25,0.00,2.86,11.2,0.317,0.234
1991-02-26,0.10,2.57,10.7,0.312,0.232
1991-02-27,0.00,3.22,10.3,0.302,0.231
1991-02-28,0.00,2.83,10.7,0.290,0.228
1991-03-01,5.10,2.13,10.2,0.313,0.229
1991-03-02,0.00,3.06,10.5,0.314,0.229
1991-03-03,0.00,3.60,13.0,0.294,0.227
1991-03-04,0.30,3.75,15.0,0.277,0.224
1991-03-05,0.00,2.51,12.7,0.272,0.223
1991-03-06,3.20,1.88,12.5,0.267,0.222
1991-03-07,17.20,1.53,10.6,0.355,0.232
1991-03-08,1.80,2.31,10.5,0.350,0.236
1991-03-09,0.00,3.05,12.4,0.332,0.235
1991-03-10,0.00,3.04,12.5,0.312,0.233
1991-03-11,0.00,3.39,13.9,0.296,0.231
1991-03-12,0.90,2.95,13.1,0.287,0.229
1991-03-13,22.80,1.36,8.8,0.389,0.241
1991-03-14,4.00,2.48,10.3,0.408,0.262
1991-03-15,0.00,3.17,11.2,0.375,0.261
1991-03-16,0.00,3.25,12.4,0.354,0.258
1991-03-17,0.00,3.49,13.9,0.336,0.256
1991-03-18,0.00,4.05,14.2,0.319,0.253
1991-03-19,0.00,4.16,15.3,0.303,0.250
1991-03-20,0.00,4.50,16.7,0.287,0.247
1991-03-21,0.20,4.21,15.5,0.272,0.243
1991-03-22,10.80,1.63,9.4,0.320,0.246
1991-03-23,18.40,1.62,7.4,0.399,0.257
1991-03-24,10.90,1.49,8.0,0.418,0.277
1991-03-25,0.40,2.31,8.9,0.403,0.283
1991-03-26,0.00,2.63,10.7,0.378,0.281
1991-03-27,0.00,3.63,11.7,0.358,0.279
1991-03-28,6.20,2.48,12.1,0.356,0.278
1991-03-29,12.70,2.19,11.4,0.404,0.284
1991-03-30,1.30,3.05,11.7,0.387,0.288
1991-03-31,10.80,2.10,11.2,0.387,0.289
1991-04-01,10.10,2.55,11.6,0.399,0.296
1991-04-02,2.70,3.11,11.0,0.403,0.303
1991-04-03,0.00,3.33,11.2,0.387,0.303
1991-04-04,0.00,3.82,12.5,0.362,0.300
1991-04-05,0.00,4.09,12.6,0.342,0.296
1991-04-06,0.00,4.67,15.0,0.324,0.293
1991-04-07,0.00,4.67,16.8,0.308,0.289
1991-04-08,0.80,3.93,16.7,0.297,0.286
1991-04-09,0.00,4.02,16.4,0.291,0.283
1991-04-10,0.00,4.38,17.5,0.277,0.280
1991-04-11,0.00,4.83,18.4,0.263,0.277
1991-04-12,0.00,4.69,18.0,0.249,0.273
1991-04-13,0.00,4.15,15.7,0.239,0.270
1991-04-14,0.00,2.87,12.4,0.234,0.268
1991-04-15,0.00,3.26,11.8,0.230,0.266
